LM name => rmse, ht
01-d-lm => 13.80 , 82.83%
02-d-lm => 10.12 , 97.42%
03-d-lm => 11.75 , 99.57%
04-d-lm => 10.86 , 99.14%
05-d-lm => 11.34 , 94.42%
06-d-lm => 10.48 , 94.85%
07-d-lm => 11.49 , 95.71%
08-d-lm => 11.67 , 93.99%
09-d-lm => 15.99 , 80.26%
10-d-lm => 12.82 , 89.70%
11-d-lm => 13.97 , 86.70%
12-d-lm => 13.83 , 86.70%
13-d-lm => 12.43 , 91.85%
14-d-lm => 11.05 , 94.42%
15-d-lm => 12.78 , 90.56%
16-d-lm => 14.90 , 91.42%
17-d-lm => 14.96 , 88.84%
18-d-lm => 15.42 , 90.99%
19-d-slm => 10.75 , 99.14%
20-d-slm => 11.48 , 99.14%
21-d-slm => 10.11 , 98.28%
22-d-slm => 11.32 , 97.00%
23-d-slm => 10.32 , 99.14%
24-d-slm => 11.43 , 95.28%
25-d-slm => 15.74 , 77.25%
26-d-slm => 15.77 , 75.11%
27-d-slm => 16.27 , 75.97%
28-d-slm => 15.65 , 78.97%
29-d-slm => 14.13 , 85.41%
30-d-slm => 13.45 , 86.70%
31-d-slm => 13.81 , 88.84%
32-d-slm => 14.98 , 84.98%
33-d-slm => 16.47 , 82.40%
34-d-slm => 18.45 , 83.69%
35-d-slm => 15.28 , 79.40%
36-d-slm => 13.94 , 82.83%
37-d-slm => 14.96 , 79.40%
38-d-slm => 14.66 , 82.40%
39-d-slm => 14.30 , 85.41%
40-d-slm => 15.09 , 85.84%
41-d-slm => 14.62 , 84.55%
42-d-slm => 14.85 , 83.26%
43-d-slm => 14.58 , 82.83%
44-d-slm => 15.96 , 84.12%

Mean RMSE => 13.591970005419496
Mean Hit Rate => 88.33398361295356%

--------------------------------------------------------------

LM name => rmse, ht
01-v-lm => 110.69 , 20.70%
02-v-lm => 150.07 , 31.72%
03-v-lm => 159.58 , 21.15%
04-v-lm => 221.61 , 1.32%
05-v-lm => 255.74 , 2.20%
06-v-lm => 229.82 , 12.78%
07-v-lm => 172.94 , 32.16%
08-v-lm => 23.80 , 44.05%
09-v-lm => 22.25 , 47.58%
10-v-lm => 32.24 , 28.63%
11-v-lm => 49.50 , 12.78%
12-v-lm => 62.77 , 4.85%
13-v-lm => 93.98 , 0.00%
14-v-lm => 160.45 , 0.00%
15-v-slm => 126.02 , 48.46%
16-v-slm => 152.45 , 51.54%
17-v-slm => 205.26 , 8.37%
18-v-slm => 235.60 , 1.32%
19-v-slm => 195.64 , 12.33%
20-v-slm => 82.56 , 27.75%
21-v-slm => 72.31 , 29.52%
22-v-slm => 57.06 , 39.65%
23-v-slm => 50.65 , 21.15%
24-v-slm => 53.27 , 19.38%
25-v-slm => 44.41 , 25.11%
26-v-slm => 39.27 , 28.19%
27-v-slm => 29.39 , 40.09%
28-v-slm => 24.47 , 47.58%
29-v-slm => 20.46 , 58.15%

Mean RMSE => 108.07789345043166
Mean Hit Rate => 24.77593802217834%
